T2HK flux file produced from /disk2/usr5/kachulis/T2HK_Ntuples/anumode/*.root on Sun Feb 22 04:25:51 2015
E(GeV)  nu_e   nu_e_bar   nu_mu   nu_mu_bar   nu_tau   nu_tau_bar (GeV 1.0e20 POT m^2)^-1
3.165   3.3103e+06   5.01048e+06   4.61161e+07   7.73273e+07   0   0
3.175   3.26602e+06   4.93642e+06   4.60049e+07   7.68032e+07   0   0
3.185   3.23301e+06   4.87275e+06   4.56488e+07   7.67259e+07   0   0
3.195   3.21127e+06   4.81947e+06   4.50478e+07   7.70955e+07   0   0
3.205   3.19912e+06   4.77629e+06   4.42843e+07   7.78158e+07   0   0
3.215   3.18648e+06   4.74151e+06   4.38531e+07   7.83098e+07   0   0
3.225   3.17169e+06   4.71485e+06   4.38367e+07   7.84813e+07   0   0
3.235   3.15474e+06   4.69631e+06   4.4235e+07   7.83305e+07   0   0
3.245   3.13563e+06   4.68589e+06   4.50481e+07   7.78571e+07   0   0
3.255   3.11549e+06   4.68177e+06   4.61283e+07   7.71148e+07   0   0
3.265   3.1011e+06   4.6731e+06   4.65905e+07   7.64237e+07   0   0
3.275   3.09359e+06   4.65805e+06   4.62869e+07   7.58374e+07   0   0
3.285   3.09295e+06   4.63664e+06   4.52177e+07   7.53557e+07   0   0
3.295   3.09919e+06   4.60886e+06   4.33828e+07   7.49787e+07   0   0
3.305   3.10992e+06   4.57508e+06   4.09665e+07   7.46981e+07   0   0
3.315   3.11081e+06   4.53745e+06   3.90744e+07   7.4464e+07   0   0
3.325   3.09946e+06   4.49635e+06   3.78906e+07   7.42681e+07   0   0
3.335   3.07588e+06   4.45176e+06   3.74153e+07   7.41104e+07   0   0
3.345   3.04007e+06   4.4037e+06   3.76484e+07   7.39908e+07   0   0
3.355   2.99429e+06   4.35248e+06   3.84672e+07   7.39209e+07   0   0
3.365   2.95217e+06   4.30004e+06   3.91355e+07   7.39693e+07   0   0
3.375   2.91597e+06   4.24669e+06   3.95307e+07   7.41476e+07   0   0
